,date,real_output,RFR
23273,1567508400000,13.9,15.746800000000007
23275,1567515600000,9.93,9.722499999999995
23276,1567519200000,6.58,7.372199999999998
23277,1567522800000,3.82,7.234399999999998
23278,1567526400000,1.62,2.7079999999999997
23279,1567530000000,0.94,0.5417000000000002
23280,1567533600000,0.27,0.08099999999999996
23281,1567537200000,0.0,0.009000060606060609
23282,1567540800000,0.0,1.8905362660926552e-06
23284,1567548000000,0.0,1.8905362660926552e-06
23285,1567551600000,0.0,1.8905362660926552e-06
23287,1567558800000,0.0,1.8905362660926552e-06
23288,1567562400000,0.0,1.8905362660926552e-06
23289,1567566000000,0.0,1.8905362660926552e-06
23290,1567569600000,0.0,0.0012000622665006226
23291,1567573200000,0.23,0.3978999999999999
23293,1567580400000,2.45,2.6055000000000006
23294,1567584000000,5.18,6.788800000000004
23295,1567587600000,14.38,9.200700000000003
23296,1567591200000,15.02,15.137800000000004
23297,1567594800000,15.15,15.760599999999997
23299,1567602000000,11.52,13.426200000000001
23300,1567605600000,9.09,11.7312
23301,1567609200000,7.7,8.075400000000004
23302,1567612800000,3.08,5.2929
23303,1567616400000,1.04,1.9793999999999992
23305,1567623600000,0.0,0.10729999999999994
23306,1567627200000,0.0,1.8905362660926552e-06
23307,1567630800000,0.0,1.8905362660926552e-06
23308,1567634400000,0.0,1.8905362660926552e-06
23309,1567638000000,0.0,1.8905362660926552e-06
23310,1567641600000,0.0,1.8905362660926552e-06
23311,1567645200000,0.0,1.8905362660926552e-06
23312,1567648800000,0.0,1.8905362660926552e-06
23313,1567652400000,0.0,1.8905362660926552e-06
23314,1567656000000,0.0,0.00030006226650062265
23315,1567659600000,0.05,0.45819999999999994
23316,1567663200000,1.52,1.323899999999999
23317,1567666800000,2.31,4.353400000000001
23318,1567670400000,5.34,5.387599999999999
23319,1567674000000,11.32,8.629000000000001
23320,1567677600000,10.62,11.210600000000005
23321,1567681200000,12.31,11.163400000000008
23323,1567688400000,12.26,11.927100000000003
23324,1567692000000,10.82,9.892499999999997
23325,1567695600000,6.94,7.518500000000001
23326,1567699200000,2.95,5.220100000000002
23327,1567702800000,0.77,1.7233
23329,1567710000000,0.0,0.08829999999999993
23330,1567713600000,0.0,1.8905362660926552e-06
23331,1567717200000,0.0,1.8905362660926552e-06
23332,1567720800000,0.0,1.8905362660926552e-06
23333,1567724400000,0.0,1.8905362660926552e-06
23335,1567731600000,0.0,1.8905362660926552e-06
23336,1567735200000,0.0,1.8905362660926552e-06
23337,1567738800000,0.0,1.8905362660926552e-06
23338,1567742400000,0.0,0.005300062266500624
23339,1567746000000,1.32,1.1981999999999995
23341,1567753200000,7.21,4.3775
23342,1567756800000,10.41,10.27840000000001
