date,air_humidity_id,sun_hours_id,output
1537552800000,81,0.0,
1537556400000,100,0.0,
1537560000000,99,0.0,
1537563600000,98,0.0,
1537567200000,99,0.0,
1537570800000,94,0.0,
1537574400000,90,0.0,
1537578000000,85,0.0,
1537581600000,84,0.0,
1537585200000,83,0.0,
1537588800000,78,0.0,
1537592400000,75,0.4,
1537596000000,73,3.5,
1537599600000,73,12.7,
1537603200000,88,18.4,
1537606800000,69,19.2,
1537610400000,59,31.7,
1537614000000,57,32.1,
1537617600000,51,14.3,
1537621200000,49,19.1,
1537624800000,43,16.3,
1537628400000,43,7.5,
1537632000000,47,1.0,
1537635600000,56,0.0,
1537639200000,62,0.0,
1537642800000,66,0.0,
1537646400000,68,0.0,
1537650000000,70,0.0,
1537653600000,74,0.0,
1537657200000,77,0.0,
1537660800000,84,0.0,
1537664400000,88,0.0,
1537668000000,90,0.0,
1537671600000,90,0.0,
1537675200000,92,0.0,
1537678800000,93,1.0,
1537682400000,85,5.9,
1537686000000,80,14.7,
1537689600000,72,27.2,
1537693200000,66,38.4,
1537696800000,60,41.5,
1537700400000,58,35.8,
1537704000000,53,20.8,
1537707600000,59,15.4,
1537711200000,60,10.6,
1537714800000,61,3.0,
1537718400000,56,1.8,
1537722000000,65,0.0,
1537725600000,77,0.0,
1537729200000,74,0.0,
1537732800000,71,0.0,
1537736400000,73,0.0,
1537740000000,74,0.0,
1537743600000,65,0.0,
1537747200000,63,0.0,
1537750800000,63,0.0,
1537754400000,67,0.0,
1537758000000,71,0.0,
1537761600000,71,0.0,
1537765200000,70,0.9,
1537768800000,67,5.3,
1537772400000,63,13.1,
1537776000000,60,24.7,
1537779600000,56,34.5,
1537783200000,51,41.5,
1537786800000,49,42.3,
1537790400000,44,32.3,
1537794000000,41,26.6,
1537797600000,42,15.0,
1537801200000,42,4.2,
1537804800000,46,0.8,
1537808400000,49,0.0,
1537812000000,47,0.0,
1537815600000,47,0.0,
1537819200000,49,0.0,
1537822800000,54,0.0,
1537826400000,56,0.0,
1537830000000,59,0.0,
1537833600000,62,0.0,
1537837200000,64,0.0,
1537840800000,66,0.0,
1537844400000,68,0.0,
1537848000000,69,0.0,
1537851600000,69,0.8,
1537855200000,68,5.4,
1537858800000,62,13.5,
1537862400000,59,26.3,
1537866000000,51,37.8,
1537869600000,43,46.6,
1537873200000,36,47.0,
1537876800000,34,40.7,
1537880400000,36,29.7,
1537884000000,39,17.7,
1537887600000,41,6.9,
1537891200000,50,0.9,
1537894800000,54,0.0,
1537898400000,58,0.0,
1537902000000,60,0.0,
1537905600000,65,0.0,
1537909200000,70,0.0,
1537912800000,74,0.0,
1537916400000,75,0.0,
1537920000000,77,0.0,
1537923600000,78,0.0,
1537927200000,75,0.0,
1537930800000,70,0.0,
1537934400000,82,0.0,
1537938000000,93,0.3,
1537941600000,98,2.1,
1537945200000,99,5.9,
1537948800000,99,11.9,
1537952400000,95,15.9,
1537956000000,90,20.9,
1537959600000,86,23.7,
1537963200000,83,21.0,
1537966800000,81,14.3,
1537970400000,76,8.8,
1537974000000,73,5.6,
1537977600000,89,0.7,
1537981200000,99,0.0,
1537984800000,98,0.0,
1537988400000,97,0.0,
1537992000000,95,0.0,
