,date,real_output,StandardScaler_LR,MinMaxScaler_LR,MaxAbsScaler_LR,RobustScaler_LR,QuantileTransformer-Normal_LR,QuantileTransformer-Uniform_LR,PowerTransformer-Yeo-Johnson_LR,Normalizer_LR
25596,1576044000000,0.0,0.6819098341545051,0.6819098341545088,0.6819098341545082,0.6819098341544879,2.263062548409894,0.0,0.543417304766864,0.45602726050568687
25597,1576047600000,0.0,0.9373111001848149,0.9373111001848204,0.9373111001848144,0.9373111001847989,0.22334227471034795,0.0,0.7751960966717804,0.7057704921987991
25599,1576054800000,0.01,1.1000998766824048,1.100099876682411,1.1000998766824086,1.1000998766823897,0.9593124317279362,1.7973151182862495,0.9202267181577006,0.8597585026107555
25600,1576058400000,0.13,1.1310331596690324,1.13103315966904,1.1310331596690357,1.1310331596690175,2.3792066430865164,2.451950647037048,0.9920533790034975,0.8876195239816469
25601,1576062000000,0.44,1.1901128873204707,1.1901128873204763,1.190112887320474,1.190112887320456,3.3446868025255148,2.9347873240036435,1.4977898240925729,0.9453223062046305
25602,1576065600000,0.46,1.311371067974068,1.3113710679740729,1.3113710679740702,1.3113710679740538,4.309372428643726,2.896033489668447,2.2209372108708134,1.0649893611692498
25603,1576069200000,0.23,1.148439165945457,1.1484391659454598,1.148439165945458,1.148439165945443,3.7913640829684407,3.161825383324274,1.9126378366492363,0.9037950335557537
25604,1576072800000,0.01,0.6865323630419642,0.6865323630419672,0.6865323630419713,0.6865323630419515,2.293387413159386,0.5264799409008996,0.976729540704872,0.4473675169638038
25605,1576076400000,0.0,0.21991060103825832,0.21991060103825888,0.21991060103826499,0.21991060103824533,2.0343791724720464,0.4403485596997534,0.0,0.0
25606,1576080000000,0.0,0.0,0.0,0.0,0.0,0.5010841248454541,0.0,0.0,0.0
25607,1576083600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25608,1576087200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25609,1576090800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25610,1576094400000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25611,1576098000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25612,1576101600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25613,1576105200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25614,1576108800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25615,1576112400000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25616,1576116000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25617,1576119600000,0.0,0.017621534794759697,0.017621534794760474,0.017621534794759697,0.017621534794741156,0.0,0.0,0.0,0.0
25618,1576123200000,0.0,0.23867085573296354,0.23867085573296642,0.2386708557329662,0.23867085573294544,0.0,0.0,0.031540648802089066,0.025685372777857096
25619,1576126800000,0.0,0.4455608371329043,0.4455608371329073,0.4455608371329056,0.4455608371328872,0.2710556371196784,0.0,0.19891290431581465,0.22755569129674108
25620,1576130400000,0.0,0.6121166941447074,0.6121166941447125,0.6121166941447083,0.6121166941446916,2.5650512533894414,0.0,0.28084372947481295,0.3883885779970354
25621,1576134000000,0.0,0.7910341644237948,0.7910341644237999,0.7910341644237953,0.79103416442378,0.47120346278223835,0.0,0.44094399984352517,0.5615676852960436
25622,1576137600000,0.0,0.8255518996257512,0.8255518996257577,0.8255518996257543,0.8255518996257367,0.6172126374900824,0.9671431949016647,0.35720349846774857,0.5901605270733674
25623,1576141200000,0.03,0.7917321346761854,0.7917321346761906,0.7917321346761863,0.7917321346761698,0.5760374810934206,1.0000912552305845,0.4033033703950868,0.5486669058640633
25624,1576144800000,0.19,0.8294618048657987,0.8294618048658038,0.8294618048657973,0.8294618048657824,1.9808330731506874,1.708074119344582,0.603874157974515,0.5845860659361968
25625,1576148400000,0.24,0.864449631909388,0.8644496319093908,0.8644496319093857,0.8644496319093713,2.3978222387535517,1.758674398066601,1.1162686433021205,0.6198585123960932
25626,1576152000000,0.2,0.7650705304838397,0.7650705304838425,0.7650705304838414,0.7650705304838236,3.337166995878484,1.7763104499921738,0.9709900757369974,0.522756309254397
25627,1576155600000,0.06,0.6228228472233655,0.6228228472233667,0.6228228472233699,0.6228228472233512,2.7686610382596886,1.8837759943729449,0.5535759481279423,0.3904125319266091
25628,1576159200000,0.0,0.3009182265634358,0.3009182265634367,0.30091822656344114,0.30091822656342215,1.374270195910464,0.0,0.0,0.0741775429527396
25629,1576162800000,0.0,0.019477382461026593,0.019477382461026593,0.019477382461035475,0.01947738246101194,0.0,0.0,0.0,0.0
25630,1576166400000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25631,1576170000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25632,1576173600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25633,1576177200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25634,1576180800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25635,1576184400000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25636,1576188000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25637,1576191600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25638,1576195200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25639,1576198800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25640,1576202400000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25641,1576206000000,0.0,0.021456406849015064,0.021456406849013843,0.021456406849017284,0.021456406848993748,0.0,0.0,0.0,0.0
25642,1576209600000,0.0,0.1625041155453144,0.16250411554531574,0.1625041155453193,0.16250411554529465,0.0,0.0,0.0,0.0
25643,1576213200000,0.0,0.3526336983289835,0.35263369832898506,0.3526336983289866,0.3526336983289645,0.02207165167912528,0.0,0.05226903699439278,0.1451627269484314
25644,1576216800000,0.0,0.5117047379450423,0.5117047379450459,0.5117047379450455,0.5117047379450245,2.2987827333213247,0.0,0.12485249301465284,0.29840780077924084
25645,1576220400000,0.0,0.6630218854213088,0.6630218854213126,0.6630218854213119,0.6630218854212924,0.10305572024692555,0.0,0.1898464422310293,0.44336318376247386
25646,1576224000000,0.01,0.781442040293681,0.7814420402936859,0.7814420402936868,0.7814420402936655,0.8603928974693309,1.1096159443197884,0.253994400526826,0.5565139610532287
