date,air_humidity_id,cloud_coverage_id,air_pressure_id,sun_hours_id,output
1548396000000,89,100,1017.5,0.0,0.0
1548417600000,91,100,1014.9,1.4,0.17
1548439200000,80,100,1011.3,0.0,0.0
1548482400000,93,100,1005.0,0.0,0.0
1548504000000,90,88,1004.2,5.4,0.0
1548525600000,95,88,1004.0,0.0,0.0
1548568800000,90,25,1002.1,0.0,0.0
1548590400000,83,100,1000.5,2.2,0.0
1548612000000,82,100,998.3,0.0,0.0
1548655200000,92,100,994.2,0.0,0.0
1548676800000,86,100,992.8,2.2,0.0
1548698400000,95,100,990.9,0.0,0.0
1548741600000,93,100,991.9,0.0,0.0
1548763200000,100,100,994.1,2.1,0.0
1548784800000,96,100,996.4,0.0,0.0
1548828000000,91,100,1002.0,0.0,0.0
1548849600000,88,100,1005.5,2.5,0.0
1548871200000,87,100,1007.7,0.0,0.0
1548914400000,88,100,1010.2,0.0,0.0
1548936000000,86,100,1011.5,3.7,0.0
1548957600000,90,88,1012.4,0.0,0.0
1549000800000,73,100,1010.6,0.0,0.0
1549022400000,94,100,1009.2,2.8,0.0
1549044000000,99,100,1007.1,0.0,0.0
1549087200000,99,100,1007.7,0.0,0.0
1549108800000,87,100,1008.1,2.9,0.0
1549130400000,98,100,1006.9,0.0,0.0
1549173600000,99,100,1000.2,0.0,0.0
1549195200000,100,88,1004.4,3.5,0.01
1549216800000,85,25,1012.7,0.0,0.0
1549260000000,83,63,1018.3,0.0,0.0
1549281600000,94,100,1019.5,3.7,0.0
1549303200000,94,100,1017.9,0.0,0.0
1549346400000,94,100,1011.4,0.0,0.0
1549368000000,92,100,1010.5,3.4,0.46
1549389600000,100,100,1012.0,0.0,0.0
1549432800000,88,13,1020.4,0.0,0.0
1549454400000,67,25,1020.6,9.8,4.38
1549476000000,77,100,1016.0,0.0,0.0
1549519200000,96,100,1008.0,0.0,0.0
1549540800000,90,100,1008.9,3.9,1.17
1549562400000,94,100,1005.1,0.0,0.0
1549605600000,89,100,995.5,0.0,0.0
1549627200000,83,88,997.2,4.3,3.41
1549648800000,79,63,1000.9,0.0,0.0
1549692000000,93,100,994.8,0.0,0.0
1549713600000,94,100,991.8,3.8,1.22
1549735200000,94,100,990.5,0.0,0.0
1549778400000,87,100,986.5,0.0,0.0
1549800000000,63,75,989.6,7.3,5.8
1549821600000,71,100,990.8,0.0,0.0
1549864800000,99,100,991.7,0.0,0.0
1549886400000,82,75,996.6,3.8,9.05
1549908000000,75,38,1002.2,0.0,0.0
1549951200000,75,0,1013.1,0.0,0.0
1549972800000,56,0,1016.3,10.9,9.35
1550037600000,93,100,1005.4,0.0,0.0
1550059200000,65,25,1012.6,12.1,5.96
1550080800000,62,63,1016.9,0.0,0.0
1550124000000,79,88,1022.0,0.0,0.0
1550145600000,81,100,1020.6,5.3,1.2
1550167200000,83,100,1019.1,0.0,0.0
1550210400000,93,75,1021.8,0.0,0.0
1550232000000,74,100,1021.9,4.4,4.73
1550253600000,84,13,1019.6,0.0,0.0
1550296800000,68,13,1012.4,0.0,0.0
1550318400000,46,38,1008.8,12.5,6.59
1550340000000,78,100,1009.9,0.0,0.0
1550383200000,76,0,1017.3,0.0,0.0
1550404800000,50,38,1020.2,15.0,0.69
1550426400000,56,100,1021.4,0.0,0.0
1550469600000,96,100,1017.4,0.0,0.0
1550512800000,90,100,1009.1,0.0,0.0
1550556000000,93,100,1001.2,0.0,0.0
1550577600000,88,100,997.1,5.7,1.38
1550599200000,89,100,994.6,0.0,0.0
1550642400000,70,13,1002.2,0.0,0.0
1550664000000,43,13,1010.0,15.6,10.03
1550685600000,54,13,1016.3,0.0,0.0
1550728800000,61,88,1021.6,0.0,0.0
1550750400000,51,88,1024.4,7.4,0.22
1550772000000,52,63,1029.4,0.0,0.0
1550815200000,65,13,1040.9,0.0,0.0
1550836800000,39,25,1043.2,20.6,3.7
1550858400000,58,100,1040.4,0.0,0.0
1550901600000,94,100,1033.8,0.0,0.0
1550923200000,85,100,1033.1,9.6,0.97
1550944800000,92,100,1031.8,0.0,0.0
1550988000000,91,100,1026.1,0.0,0.0
1551009600000,78,50,1025.2,20.7,6.06
1551031200000,83,13,1027.8,0.0,0.0
1551074400000,57,100,1027.0,0.0,0.0
1551096000000,50,88,1026.2,8.0,8.3
1551117600000,56,100,1024.2,0.0,0.0
1551160800000,59,75,1024.9,0.1,0.0
1551182400000,49,25,1027.2,22.6,10.05
1551204000000,56,88,1026.3,0.0,0.0
1551247200000,82,13,1015.6,0.2,0.0
1551268800000,65,88,1011.3,11.5,9.19
1551290400000,61,100,1005.5,0.0,0.0
1551333600000,58,13,997.0,0.3,0.0
1551355200000,49,88,999.8,6.7,10.69
1551376800000,67,25,1006.3,0.0,0.0
1551420000000,63,100,1010.5,0.3,0.0
1551441600000,49,75,1012.5,11.2,10.76
