date,air_humidity_id,precipitation_id,sun_hours_id,output
1533528000000,78,0.0,1.3,0.18
1533531600000,74,0.0,6.3,0.79
1533535200000,62,,19.8,1.81
1533538800000,56,0.0,35.6,2.39
1533542400000,52,0.0,55.2,3.32
1533546000000,47,0.0,74.0,7.42
1533549600000,43,0.0,87.5,10.94
1533553200000,42,0.0,90.1,13.59
1533556800000,40,,63.4,11.85
1533560400000,40,0.0,49.6,9.63
1533564000000,41,0.0,36.2,8.01
1533567600000,39,0.0,23.5,3.58
1533571200000,42,0.0,16.2,1.7
1533574800000,46,0.0,4.4,1.1
1533578400000,56,,1.5,0.53
1533582000000,57,0.0,0.1,0.1
1533585600000,68,0.0,0.0,0.03
1533589200000,76,0.0,0.0,0.0
1533592800000,90,0.0,0.0,0.0
1533596400000,89,0.0,0.0,0.0
1533600000000,89,,0.0,0.0
1533603600000,91,0.0,0.0,0.0
1533607200000,92,0.0,0.0,0.0
1533610800000,90,0.0,0.3,0.01
1533614400000,87,0.0,2.6,0.15
1533618000000,82,0.0,8.3,0.38
1533621600000,72,,18.9,0.6
1533625200000,62,0.0,31.3,0.81
1533628800000,50,0.0,50.4,2.63
1533632400000,47,0.0,68.0,7.3
1533636000000,42,0.0,80.2,10.78
1533639600000,46,0.0,83.6,13.29
1533643200000,50,,61.6,11.64
1533646800000,50,0.0,50.9,12.45
1533650400000,50,0.0,39.1,11.38
1533654000000,52,0.0,31.3,6.42
1533657600000,49,0.0,15.9,3.32
1533661200000,51,0.0,7.0,1.7
1533664800000,55,,2.0,0.71
1533668400000,65,0.0,0.1,0.16
1533672000000,73,0.0,0.0,0.02
1533675600000,81,0.0,0.0,0.0
1533679200000,86,0.0,0.0,0.0
1533682800000,89,0.0,0.0,0.0
1533686400000,92,,0.0,0.0
1533690000000,94,0.0,0.0,0.0
1533693600000,95,0.0,0.0,0.0
1533697200000,94,0.0,0.2,0.0
1533700800000,97,0.0,0.9,0.19
1533704400000,93,0.0,4.7,0.57
1533708000000,87,,10.6,1.49
1533711600000,83,0.0,18.5,1.23
1533715200000,72,0.0,32.5,3.18
1533718800000,47,0.0,47.5,6.64
1533722400000,44,0.0,62.1,10.11
1533726000000,40,0.0,69.4,12.38
1533729600000,39,,67.5,13.08
1533733200000,43,0.0,56.8,11.95
1533736800000,39,0.0,42.6,10.8
1533740400000,36,0.0,19.9,6.99
1533744000000,41,0.0,11.0,3.43
1533747600000,44,0.0,4.0,1.46
1533751200000,46,,1.2,0.63
1533754800000,48,0.0,0.0,0.15
1533758400000,55,0.0,0.0,0.03
1533762000000,61,0.0,0.0,0.0
1533765600000,65,0.0,0.0,0.0
1533769200000,69,0.0,0.0,0.0
1533772800000,90,1.0,0.0,0.0
1533776400000,93,0.6,0.0,0.0
1533780000000,96,0.0,0.0,0.0
1533783600000,94,0.0,0.1,0.0
1533787200000,94,0.0,2.0,0.17
1533790800000,90,0.0,6.3,0.57
1533794400000,87,,17.6,0.99
1533798000000,80,0.0,32.8,1.52
1533801600000,76,0.0,53.7,3.57
1533805200000,73,0.0,55.9,5.81
1533808800000,65,0.0,74.9,8.78
1533812400000,61,0.0,83.2,11.65
1533816000000,61,,98.9,10.74
1533819600000,57,0.0,66.2,11.78
1533823200000,57,0.0,48.4,8.03
1533826800000,57,0.0,25.8,3.46
1533830400000,58,0.0,14.9,3.18
1533834000000,57,0.0,6.3,1.63
1533837600000,58,,1.8,0.73
1533841200000,65,0.0,0.0,0.16
1533844800000,79,0.0,0.0,0.02
1533848400000,82,0.0,0.0,0.0
1533852000000,89,0.0,0.0,0.0
1533855600000,93,0.0,0.0,0.0
1533859200000,96,,0.0,0.0
1533862800000,97,0.0,0.0,0.0
1533866400000,99,0.0,0.0,0.0
1533870000000,99,0.0,0.0,0.01
1533873600000,96,0.0,1.0,0.37
1533877200000,92,0.0,3.6,0.78
1533880800000,88,,5.5,0.34
1533884400000,94,1.0,12.2,0.34
1533888000000,94,0.2,15.8,1.73
1533891600000,81,0.0,28.0,5.93
1533895200000,73,0.0,27.1,5.89
1533898800000,68,0.0,39.7,8.78
1533902400000,59,,34.6,10.12
1533906000000,49,0.0,56.4,11.64
1533909600000,53,0.0,39.5,7.43
1533913200000,46,0.0,21.3,4.5
1533916800000,46,0.0,13.7,3.16
1533920400000,47,0.0,5.6,1.94
1533924000000,49,,1.6,0.74
1533927600000,51,0.0,0.0,0.1
1533931200000,52,0.0,0.0,0.02
1533934800000,55,0.0,0.0,0.0
1533938400000,56,0.0,0.0,0.0
1533942000000,59,0.0,0.0,0.0
1533945600000,62,,0.0,0.0
1533949200000,63,0.0,0.0,0.0
1533952800000,65,0.0,0.0,0.0
1533956400000,68,0.0,0.1,0.0
1533960000000,69,0.0,2.4,0.12
1533963600000,72,0.0,8.1,0.37
