,date,real_output,StandardScaler_LR,MinMaxScaler_LR,MaxAbsScaler_LR,RobustScaler_LR,QuantileTransformer-Normal_LR,QuantileTransformer-Uniform_LR,PowerTransformer-Yeo-Johnson_LR,Normalizer_LR,StandardScaler_RFR,MinMaxScaler_RFR,MaxAbsScaler_RFR,RobustScaler_RFR,QuantileTransformer-Normal_RFR,QuantileTransformer-Uniform_RFR,PowerTransformer-Yeo-Johnson_RFR,Normalizer_RFR
35036,1579482000000,0.0,0.13035508422746056,0.13035508422746034,0.13035508422746744,0.13035508422746073,0.0,0.0,0.16784370773912105,0.01963819887444007,0.010100000000000007,0.010100000000000007,0.010100000000000007,0.010100000000000007,0.009800000000000008,0.009800000000000008,5.215905966012999e-06,1.2982961795539325
35037,1579485600000,0.0,0.1833461641984535,0.1833461641984538,0.18334616419846128,0.18334616419845398,0.0,0.03858146134371565,0.31536404408667496,0.07295180013739078,0.012000000000000009,0.012000000000000009,0.012000000000000009,0.012000000000000009,0.012000000000000009,0.012000000000000009,5.215905966012999e-06,1.2982961795539325
35038,1579489200000,0.0,0.22806167209606953,0.2280616720960696,0.22806167209607775,0.2280616720960703,0.0,0.08404982552727791,0.30796241947114955,0.11626957982691577,0.01310000000000001,0.01300000000000001,0.01300000000000001,0.01310000000000001,0.01300000000000001,0.01300000000000001,5.215905966012999e-06,1.2982961795539325
35039,1579492800000,0.0,0.29491120343545774,0.29491120343545846,0.29491120343546395,0.2949112034354587,0.0,0.2703628058546166,0.33357062395787385,0.1824715277790343,0.013400000000000009,0.013400000000000009,0.013400000000000009,0.013400000000000009,0.01320000000000001,0.01320000000000001,5.215905966012999e-06,1.2982961795539325
35040,1579496400000,0.0,0.40790480612284385,0.4079048061228444,0.40790480612284874,0.4079048061228445,0.2667740289106666,0.6942367960601727,0.47728908696157846,0.29771725185678477,0.012100000000000008,0.012100000000000008,0.012100000000000008,0.012100000000000008,0.011900000000000008,0.011900000000000008,5.215905966012999e-06,1.2982961795539325
35041,1579500000000,0.0,0.4781710889491825,0.47817108894918414,0.47817108894918814,0.4781710889491835,0.8514855332193505,0.7089389128712293,0.286723546795677,0.36156802972775814,0.011900000000000008,0.011900000000000008,0.011900000000000008,0.011900000000000008,0.011900000000000008,0.011900000000000008,5.215905966012999e-06,1.2982961795539325
35042,1579503600000,0.01,0.5071687859300187,0.5071687859300201,0.5071687859300233,0.5071687859300196,0.1712446083319059,0.6422704377602595,0.20469349301650608,0.38858160438856215,0.011900000000000008,0.011900000000000008,0.011900000000000008,0.011900000000000008,0.011900000000000008,0.011900000000000008,4.969040333343169e-06,1.2982961795539325
35043,1579507200000,0.03,0.5347589688475742,0.5347589688475767,0.5347589688475782,0.5347589688475753,1.5593048680405293,1.672595873551606,0.42059472462214553,0.4071887190335466,0.10550000000000004,0.10550000000000004,0.10760000000000006,0.10760000000000006,0.11050000000000003,0.11050000000000003,0.04509999999999996,1.2982961795539325
35044,1579510800000,0.73,0.5669065168067002,0.5669065168067028,0.5669065168067027,0.5669065168067015,1.8486959977584405,1.8298929131473405,0.7479646372799679,0.43500755354508724,0.19930000000000012,0.19890000000000016,0.1961000000000001,0.19730000000000011,0.20509999999999995,0.20509999999999995,0.21159999999999995,1.2982961795539325
35045,1579514400000,2.61,1.2328752493279493,1.2328752493279511,1.232875249327953,1.2328752493279498,2.255970092274659,2.3532807908202074,2.3511862730257462,1.0943859449288322,1.3121,1.3092000000000001,1.3066,1.3066,1.3359,1.3348999999999998,1.2076000000000005,1.2982961795539325
35046,1579518000000,1.56,2.8546454308897076,2.8546454308897085,2.8546454308897102,2.854645430889708,2.840039229360612,2.9222555183828933,2.9108454820864953,2.6929734390802147,1.9170000000000005,1.9294000000000002,1.8852000000000009,1.8716000000000008,1.9421000000000013,1.945700000000001,1.8275000000000008,1.2982961795539325
35047,1579521600000,2.75,1.5687196969016837,1.5687196969016848,1.5687196969016837,1.5687196969016832,3.271632391042501,3.0908077469046407,2.9009548060537105,1.4251794998295833,2.0887999999999995,2.0959999999999996,2.0709,2.0709,2.0683,2.0683,1.6620000000000001,1.2982961795539325
35048,1579525200000,2.09,2.586799232876711,2.5867992328767127,2.5867992328767135,2.586799232876711,3.0896975080841353,3.109182266199055,3.2069170649206677,2.4332904350237867,1.5468000000000004,1.5468000000000004,1.5469000000000002,1.5469000000000002,1.5129,1.5152,1.4442000000000002,1.2982961795539325
35049,1579528800000,0.8,1.6557900602397508,1.6557900602397528,1.6557900602397506,1.6557900602397502,2.965308174399896,2.8806694595436757,2.6407166876429424,1.5183345000810868,0.9405999999999999,0.9405999999999999,0.9116000000000001,0.9116000000000001,0.9133999999999994,0.9133999999999994,0.5453999999999993,1.2982961795539325
35050,1579532400000,0.08,0.47708448864923725,0.4770844886492403,0.477084488649238,0.47708448864923625,1.517871150711275,1.55398472543355,1.468210203250691,0.35435378246761084,0.13870000000000002,0.13870000000000002,0.13900000000000004,0.13900000000000004,0.14350000000000004,0.14350000000000004,0.12489999999999998,1.2982961795539325
35051,1579536000000,0.01,0.0,0.0,0.0,0.0,1.418814952319863,1.3447937569713355,0.23637164674346445,0.0,0.011300000000000008,0.011300000000000008,0.011300000000000008,0.011300000000000008,0.011200000000000009,0.011400000000000007,0.0003,1.2982961795539325
